ID_Unico,Estado,Fecha_Prog
20687-CEPILLOS CERDAS POLIPROPILENO 1659071 BARREDOR MINICARGADOR KITEM BR05,PENDIENTE,
20687-CEPILLOS CERDAS POLIPROPILENO 1659071 BARREDOR MINICARGADOR KITEM BR02,PENDIENTE,
20687-CEPILLOS CERDAS POLIPROPILENO 1659071 BARREDOR MINICARGADOR KITEM BR04,PENDIENTE,
21060-3359117 / BOMBA AGUA / MOTOR / CAT 236B CG19CG19,PENDIENTE,
21177-VALVULA E-8P PEDAL FRENO 2506077C91 ACOPLE RAPIDO INTER 7600 WORKSTARVD10,PENDIENTE,
21264-BAG SS 4-5/8X84-1/2 SBAND 18OZ ARAMID SINGE (080317) ASTECPA05,PENDIENTE,
21286-CEPILLO DEL BARREDOR B6652802 BOBCAT 783721782EM BR03,PENDIENTE,
21286-CEPILLO DEL BARREDOR B6652802 BOBCAT 783721782EM BR06,PENDIENTE,
21314-3401290 / EMPAQUE CARTER / MOTOR / INTERNATIONAL 7600VD100,PENDIENTE,
21314-3401290 / EMPAQUE CARTER / MOTOR / INTERNATIONAL 7600VD131,PENDIENTE,
21314-3401290 / EMPAQUE CARTER / MOTOR / INTERNATIONAL 7600VD98,PENDIENTE,
21397-PERA LUZ REVERSA INTERNATIONAL 7600 4302748VT31,PENDIENTE,
21397-PERA LUZ REVERSA INTERNATIONAL 7600 4302748MX08,PENDIENTE,
21404-PLATO DISTRIBUIDOR 93270019 REMCO SD-SAND250-234-12TR05,PENDIENTE,
21433-6207ZZC3 / RODAMIENTO BOLAS MARCA FAG / MOTOR ELECTRICO / GENERALPS01,PENDIENTE,
21921-2035050 / RESISTENCIA DE CALENTAMIENTO / ELECTRICO / VOGELE SUPER 1803-2 FS11FS11,PENDIENTE,
"21959-LAMINA TIVAR 88 1/2ç X 15CMS X 2,05 M RASPADOR RODILLO CO34CO42",PENDIENTE,
"21959-LAMINA TIVAR 88 1/2ç X 15CMS X 2,05 M RASPADOR RODILLO CO34CO54",PENDIENTE,
22005-BOMBA AUXILIAR COMBUSTIBLE 2706992 CATPE18,PENDIENTE,
22385-CONJUNTO REPARACION 1981076 ACTUADOR (3) PILOTAJE MANDO CAT 236BCG22,PENDIENTE,
22385-CONJUNTO REPARACION 1981076 ACTUADOR (3) PILOTAJE MANDO CAT 236BCG21,PENDIENTE,
22385-CONJUNTO REPARACION 1981076 ACTUADOR (3) PILOTAJE MANDO CAT 236BCG13,PENDIENTE,
22386-CONJUNTO REPARACION 2031100 ACTUADOR (1) PILOTAJE MANDO CAT 236BCG13,PENDIENTE,
22642-2K8199 / SELLO ORING / CONTROL DELANTERO / CAT 420F2 - RE42MN16,PENDIENTE,
22642-2K8199 / SELLO ORING / CONTROL DELANTERO / CAT 420F2 - RE42MN11,PENDIENTE,
22689-FUNDA VARILLA MEDIDORA 3564559C3VD15,PENDIENTE,
22689-FUNDA VARILLA MEDIDORA 3564559C3VD10,PENDIENTE,
22783-BP1004 / JUEGO BANDA DE FRENO / SISTEMA FRENO / MAZDA BT50 2013VP32,PENDIENTE,
22823-CUCHILLA 8 HUECOS 9W1878 TOPADORA D6HBZ08,PENDIENTE,
22933-SOPORTE DE MOTOR DELANTERO 1664723C3VD13,PENDIENTE,
22933-SOPORTE DE MOTOR DELANTERO 1664723C3VD123,PENDIENTE,
22933-SOPORTE DE MOTOR DELANTERO 1664723C3VD109,PENDIENTE,
22963-CHUMACERA TENSORA 211 PARA DIAMETRO EJE 2.3/16çTR02,PENDIENTE,
22978-2864080 / EMPAQUE CULATA / MOTOR / CUMMINS ISM320VD123,PENDIENTE,
22980-3883220 / EMPAQUE TAPA VALVULAS / MOTOR / CUMMINS ISM320VD144,PENDIENTE,
23141-MANIJA PUERTA 2505423C1 INTER 7600VD15,PENDIENTE,
23368-VARILLA 3585281C3 INDICADORA NIVEL ACEITE MOTOR ISM320 INTER7600VD26,PENDIENTE,
23368-VARILLA 3585281C3 INDICADORA NIVEL ACEITE MOTOR ISM320 INTER7600VD97,PENDIENTE,
23368-VARILLA 3585281C3 INDICADORA NIVEL ACEITE MOTOR ISM320 INTER7600VD90,PENDIENTE,
23368-VARILLA 3585281C3 INDICADORA NIVEL ACEITE MOTOR ISM320 INTER7600VD15,PENDIENTE,
23568-2720388 / SELLO-EMPAQUE / TAPA VALVULA MOTOR / CAT C7 950HCG23,PENDIENTE,
23731-SELLO ORING 4D9986 CAT MANDOS 416DMN11,PENDIENTE,
23791-AT310587 / VALVULA SOLENOIDE CUERPO 3 SECCIONES / SERVOTRANSMISION / JHON DEER 410JRE41,PENDIENTE,
23792-VALVULA SOLENOIDE AT310584 CUERPO 2 SECCIONES J DEERE 410JRE41,PENDIENTE,
24158-9G0286 / SELLO / SERVOTRANSMISIÓN CAT D6HBZ02,PENDIENTE,
24463-VARILLA GUIA VISUAL BORES BOMPER KENWORTHVD18,PENDIENTE,
24463-VARILLA GUIA VISUAL BORES BOMPER KENWORTHVD113,PENDIENTE,
24463-VARILLA GUIA VISUAL BORES BOMPER KENWORTHVD109,PENDIENTE,
24463-VARILLA GUIA VISUAL BORES BOMPER KENWORTHVD104,PENDIENTE,
24463-VARILLA GUIA VISUAL BORES BOMPER KENWORTHVD140,PENDIENTE,
24463-VARILLA GUIA VISUAL BORES BOMPER KENWORTHVD89,PENDIENTE,
24518-B110 / CORREA / TAMBOR SECADOR / PA05PA05,PENDIENTE,
24683-FULK4148 / SENSOR VELOCIDAD / SISTEMA ELECTRICO / INTERNATIONAL- KENWORTHVD106,PENDIENTE,
24683-FULK4148 / SENSOR VELOCIDAD / SISTEMA ELECTRICO / INTERNATIONAL- KENWORTHVD125,PENDIENTE,
24715-RODAMIENTO NU 316PA05,PENDIENTE,
24807-4921477 / SENSOR PRESION ACEITE / MOTOR / INTERNATIONALVD15,PENDIENTE,
24854-TERMOENCOGIBLE 1çCO39,PENDIENTE,
24854-TERMOENCOGIBLE 1çCO55,PENDIENTE,
24872-VOE12732300 BUJE METALICO DESLIZANTE PALA VOLVO G930MN12,PENDIENTE,
